,client,site,date,accuracy cameras. m,Number of images,Flying altitude,Ground resolution,Coverage area,Tie points,Projections,Camera Model,Resolution,Pixel Size,Total (cm),Matching time,Alignment time,X error (cm),Y error (cm),Z error (cm),XY error (cm),Total (cm).1,Resolution.1,Point density,Coordinate system,RMS reprojection error,Max reprojection error,Mean key point size,Effective overlap,Accuracy,Optimization time,Depth maps generation time,Dense cloud generation time,control photoscan,accuracy cameras,camera model,resolution,number of photos,"Average camera location error, cm","fact accuracy in photoscans,cm",image overlap,fractional dem-diff,fractional dd colours,volume control,monitoring area,result
690,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-01-17,0.05,190.0,87.2,2.41,0.1022,855803.0,2957510.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,2.0,1063.0,166.0,1.6,4.3,0.8,4.6,4.6,8.8,1292.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.143539 (0.662309 pix),0.583909 (39.5227 pix),4.34378,3.62018,High,23.0,322.0,195.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,190.0,2.0,4.6,good overlapping,good,white,FALSE,True,acceptable
697,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-01-20,0.05,391.0,93.7,2.59,0.1232,1398635.0,6769186.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.2,2204.0,350.0,2.1,4.1,1.0,4.6,4.7,9.22,1182.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.138265 (0.648179 pix),0.582405 (32.3713 pix),4.17125,5.23003,High,42.0,919.0,391.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,391.0,3.0,4.7,good overlapping,normal,white,FALSE,False,good
693,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-01-21,0.05,392.0,93.9,2.61,0.1232,1392578.0,6759938.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.1,2560.0,425.0,2.3,3.8,1.4,4.5,4.7,9.25,1172.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.137861 (0.633649 pix),0.620152 (33.7199 pix),4.16823,5.27196,High,54.0,962.0,452.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,392.0,3.0,4.7,good overlapping,good,white,FALSE,False,acceptable
708,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-01-23,0.05,580.0,89.7,2.49,0.3612,2241949.0,10429711.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.1,2871.0,519.0,2.0,4.3,1.6,4.8,5.0,8.89,1272.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.137804 (0.624078 pix),0.611931 (44.1553 pix),3.74607,5.03634,High,88.0,1306.0,686.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,580.0,5.0,5.0,good overlapping,good,white,FALSE,False,good
736,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-03,0.05,336.0,102.0,2.8,0.1862,1298340.0,5788289.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.2,1926.0,287.0,2.1,3.6,1.3,4.2,4.4,9.97,1012.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.136083 (0.611758 pix),0.594241 (30.7184 pix),3.7072,4.87836,High,36.0,782.0,508.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,336.0,5.0,4.4,good overlapping,normal,blue,FALSE,False,acceptable
737,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-05,0.05,1166.0,94.4,2.6,0.4752,3981541.0,20366168.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,4.5,7740.0,1069.0,2.3,5.5,1.6,6.0,6.2,9.3,1162.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.142373 (0.629634 pix),0.659373 (39.1329 pix),3.73917,5.63831,High,133.0,3109.0,1693.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,1166.0,4.0,6.2,good overlapping,normal,blue,FALSE,False,acceptable
738,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-06,0.05,385.0,85.7,2.38,0.1222,1335165.0,7135314.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.1,3960.0,305.0,2.5,4.4,1.5,5.1,5.3,8.51,1382.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.141943 (0.518415 pix),0.65905 (35.6877 pix),3.27588,5.66557,High,68.0,832.0,444.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,385.0,5.0,5.3,good overlapping,good,white,FALSE,False,good
743,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-07,0.05,190.0,90.0,2.49,0.1092,898635.0,3326825.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.1,866.0,159.0,2.1,4.2,1.9,4.7,5.1,8.91,1262.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.128722 (0.621472 pix),0.595966 (30.347 pix),3.95351,3.97857,High,28.0,362.0,126.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,190.0,3.0,5.1,good overlapping,good,white,FALSE,False,good
745,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-10,0.05,580.0,101.0,2.8,0.3722,2089447.0,10085794.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.9,3780.0,567.0,2.8,3.8,1.8,4.7,5.1,9.98,1002.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.139333 (0.653231 pix),0.66622 (39.0737 pix),3.99053,5.29561,High,100.0,1552.0,855.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,580.0,4.0,5.1,good overlapping,good,white,FALSE,False,good
746,as-builts,rmv-realty-inc-pa3-phase-1-grading,2001-02-11,0.05,391.0,92.0,2.55,0.1262,1586555.0,7031893.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.9,2044.0,318.0,1.3,2.2,2.0,2.5,3.2,9.07,1222.0,NAD83 / California zone 6 (ftUS) (EPSG::2230),0.135889 (0.614654 pix),0.817525 (55.7784 pix),3.68544,4.76117,High,44.0,849.0,381.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,391.0,4.0,3.2,good overlapping,good,white,FALSE,False,good
